PRODUCT,HHGRACE_PRODUCT,FAB7_LOTID,WAFER_ID,MEASURE_TIME,GOOD_DIE,YIELD(%),GROSS_DIE
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,14,2/13/2025 18:52,559,97.73,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,15,2/13/2025 19:10,562,98.25,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,16,2/13/2025 19:16,522,91.26,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,17,2/13/2025 19:22,560,97.9,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,18,2/13/2025 19:50,550,96.15,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,19,2/13/2025 20:01,562,98.25,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,20,2/13/2025 20:07,534,93.36,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,21,2/13/2025 20:14,561,98.08,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,22,2/13/2025 20:39,561,98.08,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,23,2/13/2025 20:50,560,97.9,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,24,2/13/2025 20:56,563,98.43,572
NCEHSF650HCA,H2196ATLC1-0000000,C141321.02,25,2/13/2025 21:02,560,97.9,572
